Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,CumulativeDeaths,Ground,Summary
1/14/1936,19:32,"Goodwin, Arkansas",American Airlines,1,"Newark, NJ - Fort Worth, TX",Douglas DC-2-120,NC14274,1307,17,17,100,0,"Flew into trees and disintegrated. The cause of the crash could not be determined.  Possible causes include, passenger interference, one fuel tank running dry, flying too low and the co-pilot alone at the controls."
1/29/1936,,"Denton, Texas",American Airlines,,"Chicago, IL - Oklahoma City, OK",Vultee V-1,NC13767,5,6,1,101,0,Crashed into a clump of trees while attempting a landing in a snowstorm.
4/1/1936,19:10,"Pavillon, New York",American Airlines,,"Newwark, N.J. - Buffalo, NY",Stinson Model A,NC15152,,2,2,103,0,The mail plane explosion in mid-air before crashing to the ground in a snowstorm.
4/11/1936,5:20,"Port of Spain, Trinidad",Pan American Airways,,Miami - Rio de Janeiro,Sikorsky S-42A,NC1537,,25,3,106,0,"Crashed  while taking off after the plane hit a boat . The aircraft was shipped to Miami and repaired. One of the injured passengers was Jose Iturbi, well known conductor and  pianist."
8/5/1936,22:00,"St. Louis, Missouri",Chicago Southern Airlines,4,New Orleans - Chicago,Lockheed 10B Electra,NC16022,,8,8,114,0,"Crashed while attempting to take off from Lambert Field.  The making of a turn at an extremely low altitude, for reasons unknown, in which the wing of the airplane unintentionally contacted the ground."
12/27/1936,19:38,"Newhall, California",United Air Lines,34,Oakland - San Francisco - Los Angeles,Boeing 247-D,NC13355,1737,12,12,126,0,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather."
2/9/1937,20:50,"Off San Francisco, California",United Air Lines,23,Los Angeles - San Francisco - Oakland,Douglas DC-3A,NC16073,1913,11,11,137,0,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3."
10/17/1937,21:00,"Haydens Peak, Wyoming",United Air Lines,1,Cheyenne - Salt Lake City,Douglas DC-3,NC16074,1914,19,19,156,0,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Staticonditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front."
5/24/1938,22:17,"Cleveland, Ohio",United Air Lines,9,Newark - Cleveland - Chicago,Douglas DST-A-207A,NC18108,1956,10,10,166,0,An uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach Cleveland Airport. The plane struck trees in level flight 8.5 miles east of Cleveland Airport. A fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.
11/4/1938,10:50,"Channel Islands, Jersey",Jersey Airways,,Channel Islands - Southhampton,de Havilland DH-86,G-ACZN,2316,14,14,180,1,Caught fire and crashed into a field two minutes after taking off. A farm worker was crushed to death when the wreckage landed on him.
11/29/1938,5:30,"Off Point Reyes, California",United Air Lines,6,Medford - Oakland,Douglas DC 3-A-SB-3-G-14,NC16066,1907,7,7,187,0,"The aircraft ran out of fuel and ditched into the ocean. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply."
8/31/1940,14:41,"Near Lovettsville, Virginia",Pennsylvania Central Airlines,19,Washington D.C. - Detroit,Douglas DC-3,NC21789,2188,25,25,212,0,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed."
11/4/1940,4:42,"Near Centerville, Utah",United Air Lines,16,Oakland - Salt Lake City,Douglas DC-3,NC16086,1925,10,10,222,0,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration."
12/4/1940,17:48,"Chicago, Illinois",United Air Lines,21,New York City - Chicago,Douglas DC-3A,NC25678,2175,16,10,232,0,The aircraft crashed while attempting to land at Chicago. The failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. A substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. An accumulation of ice on the wings may have increased the stalling speed of the plane.
10/30/1941,22:10,"St. Thomas, Ontario, Canada",American Airlines,1,New York - Buffalo - Chicago - Detroit,Douglas DC-3,NC25663,2207,20,20,252,0,"The aircraft, on a flight from New York to Chicago, circled a wooded area 3 or 4 times looking for a landing spot before stalling and diving into a plowed field. Cause unknown."
12/11/1941,,"Miami, Florida",Pan American Airways,,,,NC21V,,3,3,255,0,
5/1/1942,23:00,"Salt Lake City, Utah",United Air Lines,4,San Francisco - New York City,Douglas DST-A-207A,NC18146,1978,17,17,272,0,"After taking off from Salt Lake, the aircraft proceeded in the wrong direction and crashed into the side of a hill 3.8 miles northeast of the Salt Lake City Airport. The point of impact was at an elevation of 5,053 feet above sea level and about 830 feet above the airport. A deviation from the proper course, for reasons undetermined."
10/3/1942,19:05,"Botwood, Newfoundland",American Export Airlines,71,"New York - Botwood - Foynes, Ireland",Sirkorsky 44A (flying boat),NC41880,4401,37,11,283,0,"While attempting to takeoff, aircraft porpoised, attained a height of 35 ft. and then crashed into the water and broke up. Inadvertent actuation of the wing flaps to the full 35 degrees position during the take-off run, thereby rendering the aircraft excessively nose-heavy and uncontrollable."
7/28/1943,22:43,"Trammel, Kentucky",American Airlines,63,Cleveland - Memphis,Douglas DC-3,NC16014,1552,22,20,303,0,"The aircraft crashed into trees while attempting to land in strong turbulence and violent downdrafts. There was evidence that most of the occupants in the cabin were victims of suffocation or fire, or both, because of their inability to effect an exit from the aircraft. Loss of control of the aircraft due to unusually severe turbulence and violent downdraft caused by a thunderstorm of unknown and unpredictable intensity."
10/15/1943,23:17,"Near Centerville, Tennessee",American Airlines,63,Nashville - Memphis,Douglas DC3-G102,NC16088,1588,15,15,318,0,"The aircraft struck the ground nose-first in a vertical attitude while en route and was completely demolished by the impact. Inability of the aircraft to gain or maintain altitude due to carburetor ice, propeller ice or wing ice or some combination of these icing conditions, while over terrain and in weather unsuitable for an emergency landing."
2/10/1944,23:36,"Memphis, Tennessee",American Airlines,2,Little Rock - Memphis,Douglas DC-3,NC21767,2166,24,24,342,0,"The aircraft crashed into a river and sank ,18 miles southwest of Memphis, in a snowstorm, while en route from Little Rock. Cause undetermined."
1/10/1945,4:10,"Burbank, California",American Airlines,6001,"New York City - Juarez, Mexico - Burbank",Douglas DC-3,NC25684,2215,24,24,366,0,"The aircraft, lost in fog, crashed into the Verdugo Mountains,  while attempting to reach Palmdale Airport, its alternate landing site, after being unable to land at Burbank Airport. The company ground personnel failed to obtain and transmit important weather to the pilot. Improperly executed missed approach by the pilot. Actress Donna Reed was returning from Juarez where she obtained a divorce from her husband but was bumped from the flight just prior to takeoff  to make room for a military officer holding a wartime-travel priority pass."
2/23/1945,2:25,"Marion, Virginia",American Airlines,9,New York City - Los Angeles,Douglas DC-3,N18142,2138,22,17,383,0,"The aircraft flew into the summit of Glade mountain at 3,900 ft., in heavy rain and turbulence  while en route. The pilot's failure to properly  plan the flight and remain at a safe instrument altitude under existing conditions. A contributing cause of the accident was the company's laxity in dispatching and supervising the flight."
4/14/1945,16:58,"Morgantown, West Virginia",Pennsylvania Central Airlines,142,Pittsburgh - Morgantown,Douglas DC-3,NC25692,2262,20,20,403,0,"The aircraft crashed against the slope of Cheat Mountain at 2,100 ft., 7 miles east northeast of Morgantown. The action of the pilot in continuing flight over mountainous terrain under instrument conditions, below the minimum authorized instrument altitude."
1/6/1946,3:59,"Birmingham, Alabama",Pennsylvania Central Airlines,105,"New York City - Birmingham, AL",Douglas DC-3,N21786,4131,11,3,406,0,"In worsening weather conditions, the plane landed fast and high while making an instrument approach to Birmingham, overran the runway, crashed through the barrier fence and into a creek. The action of the pilot in committing himself to a landing from an approach which was too high and too fast."
1/31/1946,2:47,"Mt. Elk, Wyoming",United Air Lines,14,Boise - Denver,Douglas DC-3-194H,NC25675,2147,21,21,427,0,"The aircraft crashed into Elk Mountain after the crew made an unauthorized deviation from the prescribed route at an altitude insufficient to assure adequate clearance over Elk Mountain. Flight had originally filed for 13,000 ft.  But later amended the flight plan to 11,000 ft. Elk Mountain is 11,152 ft. MSL."
3/3/1946,8:12,"Live Oak Springs, California",American Airlines,6-103,Dallas - Tucon - San Diego,Douglas DC-3-227B,NC21799,2203,27,27,454,0,"While on approach to San Diego, the aircraft flew into Tierra Blanca Mountain at an altitude of 4,500 feet in fog, exploded and burned. The crew descended into instrument conditions to an altitude below that required to maintain clearance over Thing Mountain. The reason for the descent was not determined."
10/3/1946,3:30,"Stephenville, Newfoundland",American Overseas Airlines,,Gander - Shannon,Douglas C-54E-5-DO,NC90904,27290,39,39,493,0,Took off from Gander and flew in a straight line into a mountain ridge 71 miles from the airport. The aircraft was named 'Flagship New England.'  It can be concluded that the captain was not alert to the procedure necessary for a safe climb from the runway. The action of the pilot in maintaining the direction of take-off toward higher terrain over which adequate clearance could not be gained.
10/8/1946,4:33,"Cheyenne, Wyoming",United Air Lines,28,San Francisco - Cheyenne - Chicago,Douglas DC-4,N30051,10471,41,2,495,0,"After two landing attempts, the pilot tried to land on a different runway.  The wing struck the ground and the plane skidded 800 ft.  A loss of altitude during a turn preparatory to a final approach while the pilot was manoeuvring in an attempt to land. The aircraft was named 'Mainliner Lake Michigan.'"
11/11/1946,3:30,"Cleveland, Ohio",United Air Lines,404,Chicago - Cleveland,Douglas DC-3 (C-53D-DO),N19947,4873,20,2,497,0,Struck power lines and trees and crashed 500 feet short of the runway. The error of the pilot in establishing an approach toward an area not cleared for landing as a result of having mistaken the end markers of Runway 23 for those of Runway 31. A contributing factor was the failure of the pilot to abandon his attempt to land at Cleveland Airport when confronted with weather conditions below the minimums prescribed for that airport.
12/28/1946,9:19,"Michigan City, Indiana",American Airlines,2207,Buffalo - Chicago,Douglas DC-3 (C-50A-DO),N15577,4805,21,2,499,0,Crashed after loosing power in both engines due to fuel starvation. The accumulation of carburetor ice following the loss of power in both engines as a result of fuel starvation. The reason for fuel starvation could not be determined.
12/28/1946,,"Walshville, Illinois",Kansas City Southern Skyways,,"Flint, MI - Washville, IL",Douglas C-47A,NC58024,9378,2,2,501,0,The cargo plane crashed after both engines failed. Fuel exhaustion.
4/22/1947,10:40,"Columbus, Georgia",Delta Air Lines,,,Douglas DC-3 (C-47DL) /Vultee BT-13,N49657 / N55312,9066,10,10,511,0,"A private plane landed on top of the DC-3 while it was taking off.  After rising to a height of 150 ft., the tail of the DC-3 was forced down and both planes crashed in flames. All 9 killed aboard the DC-3 and one aboard the private plane were killed.  The failure of the pilot in the BT-13 to fly a standard left hand pattern in his approach to the airport and to keep a diligent lookout for other traffic."
5/29/1947,19:05,"La Guardia Airport, Queens, New York",United Air Lines,521,New York City - Cleveland,Douglas C-54B,NC30046,18324,48,43,554,0,"The aircraft overran the runway during an attempted takeoff, crashed and caught fire. Either the failure of the pilot to release the gust lock before take-off or his decision to discontinue the take-off because of apprehension resulting from rapid use of a short runway under a possible calm wind condition."
6/13/1947,18:16,"Leesburg, Virginia",Pennsylvania Central Airlines,410,Pittsburgh - Washington D.C.,Douglas DC-4 (C-54-DO),NC88842,3112,50,50,604,0,"The aircraft crashed into a ridge at Lookout Rock, 8 miles SE of Charles Town, WV during a rainstorm. The action of the pilot in descending below the minimum en route altitude under conditions of weather which prevented adquate visual reference to the ground.  A contributing cause was the faulty clearance given by ATC."
8/8/1947,18:49,"New York, New York",American Airlines,,New York - Buffalo,Douglas DC-3C,NX88787,19639,5,3,607,0,"Cargo flight. Lost an engine on takeoff and decided to return to the airport. Following an attempted landing, a miss approach procedure was attempted for a second landing without sufficient air speed for single engine operation."
10/8/1947,7:55,"Near El Paso, Texas",American Airlines,311,New York City - Dallas - Los Angeles,Douglas DC-4,NC90432,10314/DC45,54,0,607,0,"While cruising at 8,000 ft. in clear weather, the aircraft went into steep dive which the co-pilot was able to pull out of at 350 feet from the ground.  As a prank, a captain riding in the jump seat, engaged the gust lock in flight. The command pilot, not knowing the gust lock was engaged, rolled the elevator trim tab with no response. When the jump seat captain disengaged the gust lock,the aircraft went into a steep dive, executed part of an outside roll and become inverted. Neither the command nor jump seat captain had seat belts on and they accidentally feathered No. 1, 2 and 4 engines when they hit the controls with their heads.  No one realized it at the time but the feathering reduced power and allowed the co-pilot, who was strapped in, to pull out of the dive."
10/24/1947,12:29,"Bryce Canyon, Utah",United Air Lines,608,Los Angeles - New York City,Douglas DC-6,NC37510,42875/17,53,53,660,0,"Fire was reported on board the aircraft before it crashed.  An almost identical accident with the same cause occurred on 11/11/47. The flight crew transferred fuel either intentionally or inadvertently from the No. 4 alternate tanks to the No. 3 alternate tanks and failed to stop the transfer process in time to avoid overflowing the No. 3 alternate tank. Gasoline flowed through the No. 3 alternate vent line, out the vent, and was carried back by the slip stream, entering the cabin heater combustion air intake scoop. When the cabin heater came on an explosion and fire  occurred. The fire was fueled by magnesium flares strored in the cabin heater compartment. Caused by a design flaw in the aircraft which allowed vented fuel to be carried back into the cabin heater air intake."
11/11/1947,,"Gallup, New Mexico",American Airlines,10,San Francisco - Chicago - New York,Douglas DC-6,NC90741,43046/92,25,0,660,0,"The aircraft was on a flight from San Francisco to Chicago when fire was reported on board. The aircraft crashed landed but there were no fatalities. An almost identical accident with the same cause occurred on 10/24/47. The flight crew transferred fuel either intentionally or inadvertently from the No. 4 alternate tanks to the No. 3 alternate tanks and failed to stop the transfer process in time to avoid overflowing the No. 3 alternate tank. Gasoline flowed through the No. 3 alternate vent line, out the vent, and was carried back by the slipstream, entering the cabin heater combustion air intake scoop. When the cabin heater came on, an explosion and fire  occurred. Caused by a design flaw in the aircraft design which allowed vented fuel to be suck into the fresh air inlet."
11/30/1947,14:25,"Seattle, Washington",Alaska Airlines,9,Anchorage - Seattle,Douglas C-54A,NC-91009,7453,28,8,668,1,"The plane attempted to land at Boeing Field but aborted the landing because of low ceiling and visibility. During a second landing attempt, the aircraft touched down 2,748 feet beyond the approach end of Runway 20, ran past the end of the runway, hit an automobile killing one person, crashed into a ditch and burst into flames. Caused by the landing of the airplane too far from the approach end of a wet runway and at a speed too great to accomplish a full stop on the runway."
3/10/1948,22:58,"Chicago, Illinois",Delta Air Lines,700,Chicago - Miami,Douglas DC-4,NC37478,18390,13,12,680,0,"During takeoff, the aircraft went into a near vertical climb to an altitude of 500 - 800 feet, stalled and crashed.  Loss of longitudinal control of the airplane for reasons undetermined."
6/17/1948,12:41,"Mount Carmel, Pennsylvania",United Air Lines,624,Chicago - New York City,Douglas DC-6,NC37506,42871/12,43,43,723,0,"The plane crashed after an in-flight fire in cargo hold. The crew discharged carbon dioxide extinguishers into the cargo hold in response to the fire warning. When the plane's nose was lowered for an emergency descent, the carbon dioxide, being heavier than air, accumulated in the cockpit and asphyxiated the crew.  The aircraft crashed through high voltage lines and exploded on a hillside. After the crashes of 10/24/47 and 11/11/47, were a design flaw allowed vented fuel to enter the intake for the cabin heating system, the CAA also ordered carbon dioxide extinguishers installed. Earl Carroll,  U.S. theatrical impresario killed. Douglas aircraft company knew of the carbon dioxide danger after two of its test pilots were almost overcome during test flights. They suppressed reports to the CAA which resulted in only a warning being added to the flight manual. The aircraft was named Mainliner Utah."
1/2/1949,22:05,"Seattle, Washington",Seattle Air Charter,,Seattle - New Haven,Douglas DC-3 (C-47A-DL),NC79025,10181,30,14,737,0,"The aircraft took off in fog with a group of Yale University students returning to school following their Christmas vacation.  About midway down the runway the plane swerved to the left and became airborne.  The left wing dropped the wing tip dragged on the runway.  After about 750 feet, the tail wheel made contact with the runway.  The engines were cut and the plane skidded for 700 feet until it hit a hanger and burst into flames.  The accident was caused by the crew's attempt to take off in an airplane which had formations of ice and frost on the surfaces of the wings.  In addition, the plane was overloaded by 1,500 lbs."
1/20/1949,20:05,"Homer, Alaska",Alaska Airlines,8,Homer - Anchorage,Douglas DC-3C,N91006,20208,6,5,742,0,"The aircraft departed Homer at night under VFR conditions contrary to company and federal regulations, strayed off course and struck a 3,000 ft. mountain, 27 miles northeast of Homer. The action of the pilot in proceeding off the designated airway at an altitude insufficient to clear the terrain."
11/29/1949,5:49,"Dallas, Texas",American Airlines,157,New York City - Mexico City,Douglas DC-6,N90728,42895/58,46,28,770,0,"During a pull-up for a go-around, after attemping a landing approach with the No. 1 engine feathered,  the No. 4 engine lost power then came on with a surge. The flight engineer feathered the No. 4 engine without instructions from the captain. The aircraft stalled, then collided with wires and a building.  Crew's improper handling of the aircraft after an engine failed."
4/28/1951,19:32,"Fort Wayne, Indiana",United Air Lines,129,Cleveland - Fort Wayne - South Bend - Chicago,Douglas DC-3,N16088,1927,11,11,781,0,The aircraft crashed after being caught in a squall line with 65-85 mph winds and heavy rain. Windshear. The severe downdraft encountered which caused the aircraft to strike the ground in a near level attitude.
6/30/1951,2:00,"Rocky Mountain Nat. Park, near Ft. Collins, Colorado",United Air Lines,610,Salt Lake City - Denver,Douglas DC-6B,N37543,43144/155,50,50,831,0,"En route from San Francisco to Denver after passing the Cheyenne radio range the aircraft turned south in the wrong heading. Flying in darkness, the aircraft continued on this course until it hit Crystal Mountain. The captain may have depressed the wrong control switch or may have turned his ADF in such a way that it was affected by the radio range station at Fort Bridger, WY. Officially, the flight for reasons undetermined, failed to follow the prescribed route to Denver and continued beyond the boundary of the airway on a course which resulted in the aircraft striking mountainous terrain."
8/24/1951,4:28,"Decoto, California",United Air Lines,615,Boston - Hartford - Cleveland - Chicago - Oakland,Douglas DC-6B,N37550,43260/180,50,50,881,0,"Cleared for an approach to Oakland Municipal Airport, the aircraft crashed 15 miles SSE of the airport into Tolman peak. Patches of fog obscured the terrain. The aircraft struck a hill at an elevation of about 1,000 ft. at 225 to 240 mph. Neither of its 2 low-frequency receivers were tuned to the Oakland station and the captain may have attempted to fly by visual reference using the ADF.  As a result, the flight was 3 miles off course and well below the minimum prescribed altitude. The failure of the captain to adhere to instrument procedures in the Newark area during an approach to the Oakland Municipal  Airport."
9/12/1951,10:46,"Off Redwood City, California",United Air Lines,,,Boeing 377 Stratocruiser 10-34,N31230,15970,3,3,884,0,"The aircraft, with the No. 4 propeller feathered, stalled and dived into San Francisco Bay. An inadvertent stall at a low altitude from which recovery was not effected."
12/4/1951,7:25,"Denver, Colorado",United Air Lines,,Training,Douglas DC-3A,N17109,4999,3,3,887,0,"Stalled, entered a spin and crashed. An inadvertent spin at an altitude too low for recovery."
12/16/1951,15:09,"Elizabeth, New Jersey",Miami Airlines,,Fort Smith - Newark,Curtiss Wright C-46F,N1678M,22572,56,56,943,1,"Shortly after taking off from Newark Airport the control tower noticed smoke emanating from the right engine.  Minutes later the aircraft gradually descended, its left wing dropped and the aircraft struck the roof of a vacant building. Hold-down studs in the number 10 cylinder of the right engine failed due to fatigue. Fire erupted at the base of the failed cylinder. Extension of the landing gear and loss of the right engine led to the aircraft stalling at the height of about 200 ft. The aircraft was also overloaded by 117 pounds. A stall with the landing gear extended following a serious loss of power from the right engine. This loss of power was caused by the failure of the hold-down studs of the No. 10 cylinder, precipitating a fire in flight which became uncontrollable."
1/22/1952,15:43,"Elizabeth, New Jersey",American Airlines,6780,Buffalo - Newark,Convair CV-240-0,N94229,54,23,23,966,7,"The aircraft crashed into an apartment house during its approach, 3 miles short and right of the runway.  The plane crashed while level laterally but in a steep descending attitude.  Most likely cause was carburetor icing. Official cause unknown."
4/14/1953,2:22,"Selleck, Washington",Miami Airlines,,Spokane - Ellenburgh,Douglas DC-3 (C-47-DL),N65743,20432,25,7,973,0,"The aircraft crashed into Cedar Mountain following double engine failure. The progressive failure of both engines, due to the lack of compliance with proper maintenance standards. Spark plugs in both engines had been operated beyond their normal maintenance inspection period and exhibited evidence of a condition conducive to detonation and preignition. There was evidence that detonation and preignition took place in both engines and that  they ultimately failed as a result of master rod bearing failures."
5/17/1953,14:15,"Near Marshall, Texas",Delta Air Lines,318,Dallas - Shreveport,Douglas DC-3,N28345,2224,20,19,992,0,"The plane crashed 13 miles east of Marashall Texas, during an approach to Shreveport in a severe thunderstorm. The encountering of conditions in a severe thunderstorm that resulted in loss of effective control of the aircraft and the failure of the captain to adhere to company directives requiring the avoidance of thunderstorms when conditions would allow such action."
9/16/1953,8:34,"Albany, New York",American Airlines,723,Boston - Hartford - Albany - Chicago,Convair CV-240-0,N94255,116,28,28,1020,0,"After circling, the aircraft crashed into two radio towers while on approach to Albany Municipal Airport. While the pilot was aligning with the runway, he descended below obstructions partially obscured by fog. Crew's failure to abandon the landing under adverse weather conditions."
8/8/1954,15:40,"Near McGrath, Alaska",Alaska Airlines,,McGrath - Colorado Creek,Douglas DC-2,N91008,13977/25422,2,2,1022,0,"Flew into a mountain, 35 miles northeast of McGrath."
11/30/1954,11:15,"Berlin, New Hampshire",Northeast Airlines,792,"Laconia, NH - Berlin, NH",Douglas DC-3,N17891,11745,7,2,1024,0,The aircraft crashed during an ILS approach to Berlin. Premature and unauthorized instrument descent to an altitude that did not permit terrain clearance.
1/19/1955,16:25,"Des Moines, Iowa",United Air Lines,329,Newark - Des Moines - Lincoln,Convair CV-340,N73154,180,39,0,1024,0,Almost complete loss of elevator control and severe vibration was experienced shortly after taking off from Des Moines. The plane when into a steep climb and almost stalled but the captain applied full power and went into a steep dive. The captain then reduced power and headed for open country where the aircraft safely made an emergency wheels up  landing in a corn field.  A series of omissions made by maintenance personnel during a scheduled inspection which resulted in the release of the aircraft in an unairworthy condition and an almost complete loss of elevator control during flight.
2/19/1955,7:31,"Albuquerque, New Mexico",Trans World Airlines,260,Albuquerque - Sante Fe,Martin 404,N40416,14120,16,16,1040,0,"After taking off from Albuquerque, the aircraft flew a path directly towards Sandia Mountain and crashed into it.  While initially blaming the pilots of intentionally flying the plane into the mountain, five years later, the CAB changed the probable cause to 'deviation from course for reasons unknown' and admitted there may have been a problem with the flux gauge compass."
