STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,CITY,DAYNAME,MONTH,MONTHNAME,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,ROUTE,Rurality,FUNC_SYS,LATITUDE,LONGITUDE,SP_JUR,HARM_EV,MAN_COLL,RELJCT2NAME,Type_Intersection,WRK_ZONE,REL_ROAD,REL_ROADNAME,LGT_COND,WEATHER1,WEATHER,SCH_BUSNAME,CF1,Fatalities,DRUNK_DRIVER
Illinois,170014,2,2,0,5,5,0,MADISON (119),NOT APPLICABLE,11,1,January,6,Friday,17,5:00pm-5:59pm,U.S. Highway,Rural,Principal Arterial - Other,38.729225,-89.73085556,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Non-Junction,Not an Intersection,None,1,On Roadway,Dark - Not Lighted,Snow,Snow,No,None,1,0
Illinois,170015,2,2,0,3,3,0,DUPAGE (43),HANOVER PARK,12,1,January,7,Saturday,7,7:00am-7:59am,County Road,Urban,Principal Arterial - Other,41.96154722,-88.15165556,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Cloudy,Cloudy,No,None,1,0
Illinois,170018,2,2,0,2,2,0,JEFFERSON (81),NOT APPLICABLE,8,3,March,6,Friday,7,7:00am-7:59am,State Highway,Rural,Major Collector,38.21343056,-88.90324444,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Sleet or Hail,Sleet or Hail,No,None,1,0
Illinois,170019,2,2,0,2,2,0,OGLE (141),NOT APPLICABLE,11,1,January,6,Friday,6,6:00am-6:59am,Local Street - Township,Rural,Local,41.892725,-89.34126944,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Dark - Not Lighted,Clear,Clear,No,None,1,0
Illinois,170020,1,1,0,1,1,0,WINNEBAGO (201),NOT APPLICABLE,12,1,January,7,Saturday,1,1:00am-1:59am,County Road,Rural,Major Collector,42.34641944,-89.11678333,No Special Jurisdiction,Culvert,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dark - Not Lighted,Clear,Clear,No,None,1,1
Illinois,170021,2,2,0,2,2,0,COOK (31),CHICAGO,14,1,January,2,Monday,5,5:00am-5:59am,Local Street - Municipality,Urban,Major Collector,41.78784167,-87.58662778,No Special Jurisdiction,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Intersection-Related,T-Intersection,None,4,On Roadside,Dark - Lighted,Clear,Clear,No,None,1,0
Illinois,170022,2,2,0,2,2,0,WASHINGTON (189),NOT APPLICABLE,14,1,January,2,Monday,15,3:00pm-3:59pm,County Road,Rural,Minor Collector,38.39266667,-89.55071667,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Intersection,Four-Way Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170025,2,2,0,2,2,0,COOK (31),CHICAGO,21,1,January,2,Monday,20,8:00pm-8:59pm,Local Street - Municipality,Urban,Minor Arterial,41.70534444,-87.70129167,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Dark - Lighted,Clear,Clear,No,None,1,1
Illinois,170027,2,2,0,4,4,0,COOK (31),NOT APPLICABLE,13,1,January,1,Sunday,1,1:00am-1:59am,Interstate,Urban,Interstate,41.84341389,-87.91925278,No Special Jurisdiction,Motor Vehicle In-Transport,Rear-to-Side,Non-Junction,Not an Intersection,None,1,On Roadway,Dark - Lighted,Snow,Snow,No,Backup Due to Prior Crash,1,0
Illinois,170029,2,2,0,2,2,0,LEE (103),NOT APPLICABLE,15,1,January,3,Tuesday,6,6:00am-6:59am,U.S. Highway,Rural,Minor Arterial,41.75809722,-89.63148333,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Intersection,T-Intersection,None,1,On Roadway,Dark - Not Lighted,Clear,Clear,No,None,1,0
Illinois,170030,1,1,0,1,1,0,LOGAN (107),NOT APPLICABLE,22,1,January,3,Tuesday,7,7:00am-7:59am,Interstate,Rural,Interstate,40.26251944,-89.46101111,No Special Jurisdiction,Ditch,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,3,On Median,Daylight,Clear,Clear,No,None,1,0
Illinois,170031,4,4,0,4,4,0,WILL (197),CREST HILL,10,1,January,5,Thursday,16,4:00pm-4:59pm,County Road,Urban,Principal Arterial - Other,41.56096667,-88.12134722,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,Intersection-Related,T-Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170032,2,2,0,3,3,0,WINNEBAGO (201),ROCKFORD,21,1,January,2,Monday,0,0:00am-0:59am,Local Street - Municipality,Urban,Principal Arterial - Other,42.2813,-89.02903056,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,Non-Junction,Not an Intersection,None,1,On Roadway,Dark - Lighted,Clear,Clear,No,None,1,2
Illinois,170033,2,2,0,2,2,0,JACKSON (77),NOT APPLICABLE,21,1,January,2,Monday,9,9:00am-9:59am,U.S. Highway,Rural,Principal Arterial - Other,37.85738333,-89.22805,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170036,2,2,0,3,3,0,COOK (31),CHICAGO,27,1,January,1,Sunday,1,1:00am-1:59am,Local Street - Municipality,Urban,Minor Arterial,41.659125,-87.53988333,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,Intersection-Related,Four-Way Intersection,None,1,On Roadway,Dark - Lighted,Snow,Snow,No,None,1,1
Illinois,170037,2,2,0,2,2,0,WILL (197),NOT APPLICABLE,26,1,January,7,Saturday,8,8:00am-8:59am,Interstate,Urban,Interstate,41.48564722,-88.21901389,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,Backup Due to Prior Crash,1,1
Illinois,170038,1,1,0,1,1,0,COOK (31),CHICAGO,29,1,January,3,Tuesday,3,3:00am-3:59am,Local Street - Municipality,Urban,Major Collector,41.75793056,-87.65393056,No Special Jurisdiction,Bridge Pier or Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,3,On Median,Dark - Lighted,Snow,Snow,No,None,1,1
Illinois,170039,2,2,0,4,4,0,JERSEY (83),NOT APPLICABLE,11,1,January,6,Friday,16,4:00pm-4:59pm,State Highway,Rural,Principal Arterial - Other,39.10832778,-90.56288056,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Snow,Snow,No,None,1,0
Illinois,170040,1,1,0,1,1,0,MADISON (119),NOT APPLICABLE,26,1,January,7,Saturday,3,3:00am-3:59am,U.S. Highway,Rural,Principal Arterial - Other,38.72426111,-89.74961389,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dark - Not Lighted,Clear,Clear,No,None,1,1
Illinois,170041,3,3,0,5,5,0,COOK (31),SOUTH HOLLAND,31,1,January,5,Thursday,8,8:00am-8:59am,State Highway,Urban,Principal Arterial - Other,41.62266944,-87.61460278,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Snow,Snow,No,None,1,0
Illinois,170042,1,1,0,1,1,0,SANGAMON (167),NOT APPLICABLE,28,1,January,2,Monday,12,12:00pm-12:59pm,County Road,Rural,Major Collector,39.77114444,-89.85887222,No Special Jurisdiction,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Daylight,Clear,Clear,No,None,1,0
Illinois,170044,1,1,0,1,1,0,JEFFERSON (81),NOT APPLICABLE,7,1,January,2,Monday,14,2:00pm-2:59pm,County Road,Rural,Major Collector,38.44562222,-88.753175,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Daylight,Cloudy,Cloudy,No,None,1,1
Illinois,170047,2,2,0,2,2,0,KANE (89),NOT APPLICABLE,30,1,January,4,Wednesday,10,10:00am-10:59am,Interstate,Urban,Interstate,42.1491,-88.52945278,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170048,2,2,0,2,2,0,SANGAMON (167),SPRINGFIELD,12,1,January,7,Saturday,15,3:00pm-3:59pm,County Road,Urban,Minor Arterial,39.67325278,-89.66523333,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Snow,Snow,No,None,1,0
Illinois,170049,2,2,0,2,2,0,FRANKLIN (55),WEST FRANKFORT,8,1,January,3,Tuesday,12,12:00pm-12:59pm,State Highway,Urban,Minor Arterial,37.89534444,-88.9317,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Intersection,Four-Way Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170050,1,1,0,1,1,0,COOK (31),CHICAGO,16,1,January,4,Wednesday,5,5:00am-5:59am,Local Street - Municipality,Urban,Local,41.79505833,-87.75746944,No Special Jurisdiction,Railway Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Railway Grade Crossing,Not an Intersection,None,1,On Roadway,Dark - Lighted,Clear,Clear,No,None,1,0
Illinois,170051,3,3,0,4,4,0,FULTON (57),NOT APPLICABLE,30,1,January,4,Wednesday,15,3:00pm-3:59pm,U.S. Highway,Rural,Principal Arterial - Other,40.51687778,-89.90568333,No Special Jurisdiction,Motor Vehicle In-Transport,Sideswipe - Opposite Direction,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170052,2,2,0,4,4,0,EFFINGHAM (49),NOT APPLICABLE,3,2,February,1,Sunday,1,1:00am-1:59am,Interstate,Rural,Interstate,39.16435,-88.41129444,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Dark - Not Lighted,"Fog, Smog, Smoke","Fog, Smog, Smoke",No,None,1,0
Illinois,170054,1,1,0,1,1,0,GALLATIN (59),NOT APPLICABLE,9,2,February,7,Saturday,4,4:00am-4:59am,Local Street - Township,Rural,Local,37.703525,-88.1886,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dark - Not Lighted,Clear,Clear,No,None,1,0
Illinois,170055,2,2,0,2,2,0,KANKAKEE (91),BOURBONNAIS,11,2,February,2,Monday,19,7:00pm-7:59pm,Interstate,Urban,Interstate,41.19158889,-87.86654444,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Non-Junction,Not an Intersection,None,1,On Roadway,Dark - Not Lighted,Sleet or Hail,Sleet or Hail,No,None,1,0
Illinois,170057,1,1,0,1,1,0,MASON (125),NOT APPLICABLE,6,2,February,4,Wednesday,16,4:00pm-4:59pm,State Highway,Rural,Major Collector,40.22457778,-89.79835278,No Special Jurisdiction,Building,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,5,Outside Trafficway,Daylight,Rain,Rain,No,None,1,0
Illinois,170059,2,2,0,2,2,0,WINNEBAGO (201),NOT APPLICABLE,4,2,February,2,Monday,10,10:00am-10:59am,County Road,Urban,Principal Arterial - Other,42.23854722,-88.99725278,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Rain,Rain,No,None,1,1
Illinois,170060,1,1,0,1,1,0,CRAWFORD (33),NOT APPLICABLE,4,2,February,2,Monday,2,2:00am-2:59am,Local Street - Township,Rural,Minor Arterial,39.02029722,-87.72224444,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dark - Not Lighted,Clear,Clear,No,None,1,0
Illinois,170062,2,2,0,3,3,0,SANGAMON (167),SPRINGFIELD,6,2,February,4,Wednesday,10,10:00am-10:59am,Local Street - Municipality,Urban,Major Collector,39.74145278,-89.67686667,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Rain,Rain,No,None,1,0
Illinois,170063,2,2,0,5,5,0,COOK (31),PALATINE,5,2,February,3,Tuesday,17,5:00pm-5:59pm,State Highway,Urban,Principal Arterial - Other,42.13915833,-88.01793889,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Driveway Access Related,Not an Intersection,None,1,On Roadway,Dark - Lighted,Rain,Rain,No,None,1,1
Illinois,170064,1,1,0,3,3,0,PEORIA (143),PEORIA,10,2,February,1,Sunday,4,4:00am-4:59am,Local Street - Municipality,Urban,Minor Arterial,40.71101667,-89.60349444,No Special Jurisdiction,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dark - Lighted,Clear,Clear,No,None,2,1
Illinois,170065,2,2,0,2,2,0,WILL (197),FRANKFORT,13,2,February,4,Wednesday,11,11:00am-11:59am,U.S. Highway,Urban,Principal Arterial - Other,41.50145556,-87.85730833,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Driveway Access Related,Not an Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170066,3,1,2,1,1,0,COOK (31),CHICAGO,4,2,February,2,Monday,1,1:00am-1:59am,Interstate,Urban,Interstate,41.8247,-87.71963889,No Special Jurisdiction,Parked Motor Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Other location within Interchange Area,Not an Intersection,None,4,On Roadside,Dark - Lighted,Clear,Clear,No,None,1,1
Illinois,170067,1,1,0,1,1,0,MCHENRY (111),NOT APPLICABLE,9,3,March,7,Saturday,14,2:00pm-2:59pm,State Highway,Urban,Principal Arterial - Other,42.340525,-88.39460556,No Special Jurisdiction,Guardrail End,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Daylight,Rain,Rain,No,None,1,0
Illinois,170068,1,1,0,1,1,0,COOK (31),CHICAGO,13,2,February,4,Wednesday,23,11:00pm-11:59pm,Local Street - Municipality,Urban,Minor Collector,41.81684722,-87.60451111,No Special Jurisdiction,Traffic Signal Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Intersection-Related,Four-Way Intersection,None,4,On Roadside,Dark - Lighted,Clear,Clear,No,None,1,0
Illinois,170069,2,2,0,5,5,0,HENDERSON (71),NOT APPLICABLE,13,2,February,4,Wednesday,12,12:00pm-12:59pm,U.S. Highway,Rural,Principal Arterial - Other,40.83698889,-90.99448333,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170070,2,2,0,3,3,0,DUPAGE (43),DOWNERS GROVE,12,3,March,3,Tuesday,13,1:00pm-1:59pm,Local Street - Municipality,Urban,Minor Arterial,41.76576389,-88.00834167,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Intersection,Four-Way Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170071,2,2,0,3,3,0,CLARK (23),NOT APPLICABLE,23,2,February,7,Saturday,8,8:00am-8:59am,State Highway,Rural,Principal Arterial - Other,39.30885278,-87.67159722,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170072,1,1,0,1,1,0,COOK (31),NOT APPLICABLE,25,2,February,2,Monday,19,7:00pm-7:59pm,Interstate,Urban,Interstate,42.06663889,-88.24098889,No Special Jurisdiction,Concrete Traffic Barrier,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,3,On Median,Dark - Lighted,Clear,Clear,No,None,1,0
Illinois,170073,2,2,0,2,2,0,BOND (5),NOT APPLICABLE,27,2,February,4,Wednesday,16,4:00pm-4:59pm,State Highway,Rural,Minor Arterial,38.93305556,-89.44813611,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Cloudy,Cloudy,No,None,2,0
Illinois,170076,1,1,0,1,1,0,KANE (89),CARPENTERSVILLE,19,2,February,3,Tuesday,12,12:00pm-12:59pm,State Highway,Urban,Minor Arterial,42.12100833,-88.29973056,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Intersection-Related,T-Intersection,None,4,On Roadside,Daylight,Clear,Clear,No,None,1,1
Illinois,170077,2,2,0,3,3,0,COOK (31),DES PLAINES,5,2,February,3,Tuesday,13,1:00pm-1:59pm,Local Street - Municipality,Urban,Minor Arterial,42.04126667,-87.91058333,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170078,1,1,0,1,1,0,FULTON (57),NOT APPLICABLE,28,2,February,5,Thursday,19,7:00pm-7:59pm,County Road,Rural,Local,40.65111667,-90.02733333,No Special Jurisdiction,Ditch,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dark - Not Lighted,Clear,Clear,No,None,1,1
Illinois,170079,1,1,0,1,1,0,VERMILION (183),NOT APPLICABLE,3,2,February,1,Sunday,10,10:00am-10:59am,County Road,Rural,Major Collector,40.15263889,-87.76902222,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Daylight,Clear,Clear,No,None,1,0
Illinois,170080,2,2,0,3,3,0,MADISON (119),GLEN CARBON,22,2,February,6,Friday,9,9:00am-9:59am,State Highway,Urban,Principal Arterial - Other,38.77091667,-89.99548333,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Intersection,T-Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170081,1,1,0,1,1,0,GRUNDY (63),NOT APPLICABLE,2,3,March,7,Saturday,9,9:00am-9:59am,U.S. Highway,Rural,Minor Arterial,41.37011667,-88.55675,No Special Jurisdiction,Ditch,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Daylight,Clear,Clear,No,None,1,0
Illinois,170082,2,2,0,6,6,0,COOK (31),CHICAGO,3,3,March,1,Sunday,20,8:00pm-8:59pm,Local Street - Municipality,Urban,Major Collector,41.69998333,-87.61478056,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Intersection,Y-Intersection,None,1,On Roadway,Dark - Lighted,Clear,Clear,No,Police Pursuit Involved,1,0
Illinois,170083,2,2,0,4,4,0,LAKE (97),WADSWORTH,9,2,February,7,Saturday,19,7:00pm-7:59pm,Local Street - Municipality,Urban,Minor Arterial,42.42501389,-87.90398056,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Dark - Not Lighted,Clear,Clear,No,None,1,1
Illinois,170084,1,1,0,1,1,0,WILL (197),JOLIET,3,3,March,1,Sunday,23,11:00pm-11:59pm,Local Street - Municipality,Urban,Local,41.48571111,-88.14895556,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dark - Lighted,Clear,Clear,No,None,1,0
Illinois,170085,1,1,0,1,1,0,MCLEAN (113),NOT APPLICABLE,3,3,March,1,Sunday,7,7:00am-7:59am,County Road,Rural,Major Collector,40.42710833,-88.71751389,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dawn,Blowing Snow,Blowing Snow,No,None,1,0
Illinois,170087,2,2,0,3,3,0,LAKE (97),LIBERTYVILLE,2,3,March,7,Saturday,10,10:00am-10:59am,Local Street - Municipality,Urban,Principal Arterial - Other,42.30594722,-87.99718611,No Special Jurisdiction,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Daylight,Clear,Clear,No,None,1,0
Illinois,170088,1,1,0,1,1,0,KANKAKEE (91),NOT APPLICABLE,5,3,March,3,Tuesday,6,6:00am-6:59am,Local Street - Township,Rural,Local,41.12145278,-88.02965556,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dark - Not Lighted,Clear,Clear,No,None,1,1
Illinois,170089,1,1,0,3,3,0,WILL (197),JOLIET,3,3,March,1,Sunday,1,1:00am-1:59am,U.S. Highway,Urban,Principal Arterial - Other,41.58378333,-88.16882222,No Special Jurisdiction,Bridge Pier or Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Other location within Interchange Area,Not an Intersection,None,4,On Roadside,Dark - Lighted,Clear,Clear,No,None,1,1
Illinois,170090,2,2,0,2,2,0,WABASH (185),NOT APPLICABLE,5,3,March,3,Tuesday,14,2:00pm-2:59pm,State Highway,Rural,Principal Arterial - Other,38.40869167,-87.82716111,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Intersection,Four-Way Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170091,1,1,0,1,1,0,COOK (31),CHICAGO,3,3,March,1,Sunday,23,11:00pm-11:59pm,Interstate,Urban,Interstate,41.87427778,-87.70575556,No Special Jurisdiction,Traffic Sign Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Other location within Interchange Area,Not an Intersection,None,8,Gore,Dark - Lighted,Clear,Clear,No,None,1,1
Illinois,170092,2,2,0,3,3,0,MCHENRY (111),NOT APPLICABLE,8,3,March,6,Friday,15,3:00pm-3:59pm,Local Street - Township,Rural,Major Collector,42.414325,-88.50810556,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,Intersection,T-Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170093,2,1,1,3,2,1,COOK (31),MARKHAM,9,3,March,7,Saturday,3,3:00am-3:59am,Interstate,Urban,Interstate,41.61081944,-87.69689444,No Special Jurisdiction,Working Motor Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Through Roadway,Not an Intersection,None,1,On Roadway,Dark - Lighted,Clear,Clear,No,Recent/Previous Crash scene Nearby,1,1
